iter	MultiClass
0	1.805935621
1	1.719647493
2	1.660961966
3	1.623848034
4	1.598542026
5	1.580754733
6	1.56200245
7	1.550338689
8	1.541350662
9	1.533123537
10	1.523279435
11	1.509990976
12	1.50176187
13	1.496012664
14	1.490028904
15	1.48131677
16	1.473665512
17	1.467825693
18	1.456817082
19	1.447801565
20	1.440275743
21	1.435585572
22	1.429664754
23	1.423561997
24	1.418021477
25	1.41013194
26	1.405555465
27	1.400897255
28	1.395777162
29	1.391750219
30	1.388030585
31	1.384109491
32	1.378811505
33	1.374345074
34	1.37085785
35	1.365535189
36	1.362628113
37	1.357600836
38	1.354761521
39	1.351810313
40	1.348526493
41	1.343682854
42	1.341091893
43	1.338193527
44	1.334975999
45	1.332685656
46	1.330185163
47	1.326196018
48	1.323894132
49	1.321546237
50	1.318252734
51	1.316367422
52	1.313342486
53	1.30979713
54	1.306506935
55	1.303722085
56	1.301750241
57	1.299789658
58	1.297035387
59	1.295245421
60	1.292786216
61	1.290750109
62	1.289401397
63	1.287369625
64	1.285001337
65	1.283185256
66	1.280355229
67	1.278382782
68	1.277231552
69	1.275473114
70	1.273637957
71	1.27233904
72	1.270681096
73	1.268925902
74	1.26680007
75	1.265096196
76	1.263533938
77	1.26184019
78	1.26046479
79	1.259242051
80	1.258121595
81	1.256668584
82	1.255139528
83	1.253693194
84	1.251421409
85	1.250297995
86	1.248535291
87	1.247268481
88	1.245866641
89	1.244012021
90	1.242470407
91	1.241017133
92	1.239741568
93	1.238505723
94	1.237333522
95	1.235841276
96	1.234530139
97	1.233571304
98	1.231581085
99	1.230288653
