iter	Passed	Remaining
0	635	62924
1	1258	61678
2	1882	60861
3	2499	59988
4	3120	59284
5	3751	58776
6	4374	58123
7	5000	57508
8	5630	56926
9	6259	56335
10	6872	55604
11	7502	55016
12	8114	54302
13	8737	53675
14	9352	52995
15	9972	52358
16	10585	51683
17	11211	51072
18	11831	50438
19	12462	49849
20	13164	49524
21	13790	48894
22	14404	48223
23	15016	47553
24	15625	46875
25	16247	46242
26	16857	45578
27	17481	44953
28	18104	44324
29	18727	43698
30	19340	43049
31	19958	42411
32	20570	41764
33	21211	41174
34	21833	40548
35	22461	39930
36	23070	39282
37	23703	38674
38	24325	38047
39	24940	37411
40	25550	36768
41	26170	36140
42	26783	35503
43	27395	34866
44	28014	34239
45	28639	33620
46	29264	32999
47	29887	32378
48	30505	31750
49	31124	31124
50	31755	30510
51	32395	29903
52	33034	29294
53	33677	28688
54	34321	28081
55	34981	27485
56	35637	26884
57	36313	26295
58	36957	25682
59	37602	25068
60	38246	24452
61	38902	23843
62	39551	23228
63	40199	22612
64	40834	21987
65	41508	21383
66	42284	20826
67	42983	20227
68	43669	19619
69	44459	19054
70	45138	18436
71	45763	17796
72	46359	17146
73	46967	16502
74	47640	15880
75	48240	15233
76	48849	14591
77	49462	13950
78	50146	13329
79	50775	12693
80	51402	12057
81	52084	11433
82	52902	10835
83	53554	10200
84	54201	9564
85	54858	8930
86	55497	8292
87	56173	7660
88	56835	7024
89	57498	6388
90	58149	5751
91	58794	5112
92	59410	4471
93	60035	3832
94	60662	3192
95	61286	2553
96	61907	1914
97	62529	1276
98	63140	637
99	63756	0
